id,nama,Umur,Status,no_hp,alamat
354,"Lembah Mustofa, M.TI.",43,Sudah Menikah,08613991809,"JaLaN AhmAD yaNI nO.72, kecaMAtAn cimaHI UtAra, banjaR, JawA barat"
355,Aris Ramadan,33,Belum Menikah,08478615369,"KompleK MERDeKa no.117, kEC. CImaHi, cIanjUr, JAWa bARaT"
356,Dewi Zulaika,24,Belum Menikah,08787762838,"kOmPLeK AHMAD YANI NO.131, kEC. BOJong, KUniNgaN, JawA bArat"
357,"Sutan Garda Winarno, S.E.I",22,Sudah Menikah,08301801610,"GANG MErdeka no.3, KeC. cImAHi, SUmEdANg, JAWa baRaT"
358,"Tasnim Permata, M.Ak",70,Belum Menikah,08349737899,"gAnG aHmAD YAni nO.178, kECamAtAn CiMaHi, bANdUNG, jAWA bARAT"
359,Novi Habibi,52,Belum Menikah,08028840711,"GaNG PaHlaWAn No.109, kec. CIMAHi utaRA, BaNjar, jawA bARAt"
360,T. Narji Prasasta,24,Belum Menikah,08598675663,"Jl. AhMAd yANI NO.138, KECAMaTAn CimAHi, DEPok, jaWA baRaT"
361,Hasan Prakasa,51,Sudah Menikah,08327462952,"Jl. sUdIRMAN NO.22, kEc. CIbeunYiNg, CianjuR, jaWa BaraT"
362,R.A. Septi Usada,65,Sudah Menikah,08208824261,"gaNg AHmAd YaNI no.55, KeCamaTAn kArAnGPAWItaN, maJALEnGka, JAwA bArAT"
363,Puti Mayasari,21,Belum Menikah,08813715353,"komplek aHMaD YanI NO.165, KecAmataN karanGpawiTAn, CiANJuR, jAWA BaRAT"
364,Padma Siregar,33,Belum Menikah,08465878324,"kOMPlEk AHmAD Yani NO.196, kECAmAtaN ciMaHi, sUBANG, jAWA BaRaT"
365,Ganep Wacana,52,Sudah Menikah,08632329023,"jl. pAhlAWAN NO.123, keC. CiMAhI SelaTAn, indramAyU, jaWA BARAT"
366,"Dr. Zulfa Uyainah, S.Pt",41,Belum Menikah,08280693763,"kOMpleK PaHlAwaN NO.162, kEcAMATAN CimaHI sELaTan, SUBANG, JAWa BaraT"
367,Digdaya Nababan,42,Sudah Menikah,08635833761,"GanG ahmad YANi No.192, KEc. ciMAHi TEngAh, SuKabUMI, JaWA BaRAt"
368,Emin Haryanti,58,Sudah Menikah,08468391733,"JAlAN dewi sArtIKA NO.82, KecaMataN CImahi TeNgaH, MAjAleNGKA, jawA BAraT"
369,Ellis Wibowo,40,Belum Menikah,08215377259,"gAnG ahmAd yani no.174, kECamATAN CimAhI selaTAN, BogOR, jAwa BaRAt"
370,Syahrini Nababan,60,Belum Menikah,08864799931,"jl. dewI SArtiKa NO.52, keCaMaTAN cibeunYing, kArAWAnG, JAwa barat"
371,Nilam Palastri,35,Sudah Menikah,08831040218,"jalaN dIpONEgORo no.126, KecaMatAN bOjoNg, SUbang, Jawa BaRat"
372,Kamaria Nuraini,27,Belum Menikah,08755401245,"GAng aHMad YanI No.182, kEc. boJOng, indRaMaYu, JAWA BARAt"
373,"Cut Queen Halim, S.Pt",34,Belum Menikah,08120309698,"Jl. dEwi SaRtIka NO.137, kec. BoJOng, CIMahi, Jawa bArat"
374,"Rika Winarsih, M.Kom.",27,Belum Menikah,08874901060,"gang dEWI sarTikA no.131, KEc. cimaHI UTARA, KunINgAn, jaWa BaRat"
375,Widya Megantara,62,Belum Menikah,08125949448,"Jl. PaHlAWAN No.71, kECAmATan Bojong, kaRAWang, jawa BArat"
376,"Keisha Saputra, M.Ak",17,Sudah Menikah,08903160540,"koMpleK aHmAd yanI No.117, KECAmaTAn bOjonG, BaNJar, jawA BarAt"
377,"Dr. Silvia Latupono, S.E.I",63,Belum Menikah,08729505341,"JaLAN DEwI sArTIKa NO.77, keCamatAn CimaHi uTaRa, karAWanG, JaWA baRaT"
378,"R.A. Ajeng Riyanti, S.E.",26,Sudah Menikah,08075784677,"gang sUDirmaN No.69, kecAMaTAn cIMAHI TengAh, boGoR, jAwa bARAt"
379,Oskar Thamrin,26,Sudah Menikah,08773120284,"gANG DeWi sartiKA NO.153, KEC. CimahI TEngaH, CiaNjur, JaWa BARat"
380,"Ir. Cahyadi Siregar, S.Pd",25,Belum Menikah,08814239926,"Jl. DiPonEGOrO no.120, KEcAMATaN CibeuNyiNG, sUMedang, JAwA baRAt"
381,Respati Haryanti,64,Belum Menikah,08489364640,"jAlAN pAHLawan nO.40, keCamataN CimahI tenGah, KaraWAnG, jawA BaRAt"
382,"Nyoman Pratiwi, M.TI.",22,Sudah Menikah,08860049340,"Jl. dipONeGOrO NO.12, Kec. cibEUNyINg, PAnganDaRAN, jaWa BARAt"
383,"Dr. Tomi Prabowo, S.E.I",47,Belum Menikah,08920332727,"JL. dIPoNEgorO nO.197, KeC. bOJONG, TASikMAlayA, JAwa bArAT"
384,Suci Rahimah,34,Sudah Menikah,08852584826,"JL. MeRDeKa nO.152, kecamatAN CimAHi selataN, gaRut, JaWa bARAT"
385,Queen Hartati,33,Sudah Menikah,08696315325,"GANg pAHlAWAn NO.57, KecamaTAN CimaHI sELaTAN, MajAlenGKA, jawA baRAT"
386,"Yuni Wasita, M.Pd",33,Belum Menikah,08642062913,"JAlaN ahMAD YaNI No.77, kecamaTAN cibEuNYInG, banjaR, jAWA bArat"
387,Wirda Zulaika,45,Belum Menikah,08863984007,"KomPLeK sUDIrmAN NO.116, KEc. CimaHI TeNGah, majaLEnGkA, JAWA bARAt"
388,drg. Edward Kurniawan,45,Sudah Menikah,08925487716,"Jl. diponEgoRo No.41, kEcAmataN ciMahI sElataN, BaNdung, JAWA bARat"
389,Ir. Harsana Nurdiyanti,65,Sudah Menikah,08081489677,"Jl. suDirman nO.10, KEcamatAn cIMAHi TenGah, GaRUt, jAWA barAt"
390,Candra Mulyani,48,Belum Menikah,08397492738,"KoMPLek DeWI saRTikA nO.142, kEcAmATan CIMaHi tEngAH, tasikmALaya, jaWA barat"
391,Melinda Sirait,24,Belum Menikah,08101200876,"KOMPLEK dIPonEGOrO NO.108, KeC. CiBeuNyInG, kuNINgaN, jAwa BARAt"
392,Wawan Mangunsong,61,Sudah Menikah,08386506380,"JALAn sUdiRmAn no.75, kECAMATaN bOJONG, gaRUT, jaWa BarAT"
393,"Dt. Harto Zulaika, M.TI.",32,Sudah Menikah,08261065209,"jalAN MerDeka no.3, KeC. CiMAHi, baNdung, JaWa baRAT"
394,Rini Pangestu,32,Belum Menikah,08857593179,"GaNg ahMad yaNI NO.42, kEc. KAraNgpawItAN, sUkABUmI, jAwa bARat"
395,Cinthia Halimah,53,Belum Menikah,08839243386,"kOMPLEK pAhLAwaN no.26, KEC. CImaHi, SUKaBUmI, JAWa baRAt"
396,Ayu Hutagalung,30,Sudah Menikah,08898921355,"JAlan PAHLAWAN no.1, KeC. kaRAngpAwiTaN, majALEngka, JawA BARAt"
397,Dr. Hafshah Mardhiyah,18,Sudah Menikah,08932997581,"jL. suDirman No.88, KecAmaTan cimaHI TenGAH, cIReBOn, jawa BaRAt"
398,"R. Danang Suryatmi, S.Kom",32,Sudah Menikah,08892524889,"komPlEk PaHlAWAn no.98, KeCaMAtan ciMaHi, suKaBUMI, Jawa bARaT"
399,"Ani Widodo, S.T.",57,Sudah Menikah,08371241602,"GANG PahLaWAn NO.198, kec. KARANGPAWItAN, indrAmAYu, JaWA BAraT"
400,Harja Wahyudin,61,Sudah Menikah,08108007600,"JaLaN SuDIrMAN NO.128, Kec. cImaHi, KArAWaNg, JAWa BaRaT"
401,Sarah Mandala,32,Belum Menikah,08056974359,"jalAN mErDeKa nO.160, kEC. KarangPaWiTAN, beKasi, JaWA bArAT"
402,"R.A. Alika Thamrin, M.Ak",70,Sudah Menikah,08371637444,"Gang DiponEGoRO no.107, KeC. CIbeunyinG, PUrWAkArTA, JAWa BARAt"
403,Puti Zalindra Pranowo,31,Sudah Menikah,08384316056,"KoMPlek MErDEKa NO.87, keCAmAtAN CiMaHI seLATan, PaNgAnDAran, Jawa barAt"
404,Cecep Saptono,41,Sudah Menikah,08455447612,"KomPlEK dEWI sArTiKa nO.173, KeC. CiBeUnYIng, kUninGAN, JAwA BArAt"
405,Capa Aryani,64,Sudah Menikah,08194427254,"kOMplek DEWi saRtika nO.57, KeC. bOjong, SuMEdaNG, JAWA BARAt"
406,Ida Sihotang,70,Sudah Menikah,08099476079,"jl. DEwi SArTIka nO.117, KECaMatAN KaRanGpAwItAn, ciMaHI, jAWA BArAt"
407,Ami Melani,69,Belum Menikah,08025293046,"jL. paHLAwan NO.183, keCAMATAN CIMAHi UTARa, cIrEbOn, jaWa bARat"
408,Tgk. Daruna Maryati,52,Sudah Menikah,08503616698,"gAng Dewi SARtIka No.1, kec. bojonG, PaNGandarAn, jawa barAt"
409,Drs. Emong Gunawan,61,Belum Menikah,08215758605,"jl. sUDiRmAn no.91, KEC. CiMahi, SUBAng, jAWA BARAt"
410,Dr. Tari Hutasoit,28,Sudah Menikah,08547646906,"jalAn deWI SaRtIkA nO.151, KeCAmataN CImahi tENgAh, baNjaR, jawa bAraT"
411,Putri Hidayanto,35,Belum Menikah,08606133982,"komPLek DiPONEGORO NO.105, KEC. ciMaHI sELATAn, CIrEboN, jAWa baRAt"
412,dr. Emin Salahudin,27,Belum Menikah,08520893394,"gaNG DipOnEGoRO NO.186, Kec. BojonG, CiMAHI, JAwa barAt"
413,Nyoman Pudjiastuti,37,Sudah Menikah,08552624060,"ganG AHmaD yAni NO.34, kEC. KARangpaWITAN, IndRamAyU, JawA BaraT"
414,Jumari Prayoga,50,Belum Menikah,08540443072,"GANg MeRDEkA no.185, kECamaTAn cImahi uTaRA, CImahi, jaWa BaraT"
415,Diah Nurdiyanti,50,Belum Menikah,08944605382,"GAng DEwi sArTika no.153, KEc. CiMahI tEngAh, KUningAn, JaWA baRat"
416,"Adikara Narpati, S.Kom",45,Belum Menikah,08474899733,"jalAN SUdirman NO.56, KEC. CimAHI tEnGAh, tASiKmALAYa, jawa BaRat"
417,"T. Jefri Suryono, M.Kom.",52,Belum Menikah,08186289589,"JL. dIpoNEgORo nO.68, Kec. kARaNGpawitaN, BOgor, jAWa Barat"
418,Jane Budiyanto,62,Sudah Menikah,08563904200,"Gang DIponEgOro NO.17, KEcamAtAn ciMAhI, CImAhi, Jawa BARAT"
419,"Tgk. Margana Napitupulu, S.T.",19,Belum Menikah,08244390075,"KompLeK dIPonegoRO No.174, KeC. CimAHi teNGah, cIREBON, JAwA bARat"
420,Ella Latupono,28,Sudah Menikah,08229209539,"JAlAn DewI SaRtIKA no.170, KEcAMATan bojONG, BANjAr, jawa BarAt"
421,Ibun Prasetya,39,Belum Menikah,08366254150,"Gang SudIrman no.148, kEC. cIMAhI TEnGAH, ciANJUR, JAwa Barat"
422,Hj. Malika Laksmiwati,46,Sudah Menikah,08859100247,"jL. deWI SArtika No.76, KeC. CiMahI TengaH, indRaMAYu, jAwa baraT"
423,"R.A. Humaira Sirait, S.E.I",34,Sudah Menikah,08133348735,"jalaN merdekA nO.104, keC. cImAhI tengAH, panGANdaraN, jaWa bARAt"
424,"Ina Napitupulu, S.Kom",46,Belum Menikah,08465715761,"KOMPlEK AhMaD YAnI No.74, KEcAmatAn Cimahi UTAra, TasiKmALAya, Jawa bAraT"
425,"Mustofa Irawan, M.Kom.",67,Sudah Menikah,08127296984,"KOmpLEk SUdIrmaN NO.96, keCaMATan CIMahI, sukaBUMi, JawA BARat"
426,dr. Limar Pranowo,22,Sudah Menikah,08797654289,"gANG AHmAd YAni no.58, KecAmataN kARaNgPawITan, CImAhi, JAwa BARaT"
427,Gadang Usamah,60,Sudah Menikah,08502008966,"jAlan SUDiRMAn no.162, kEcamATaN cIMAHi SelaTan, KunIngaN, JaWA barAt"
428,Paramita Anggraini,22,Belum Menikah,08095234702,"jaLan DiponEgoRO nO.128, kEC. cimahI sELAtAn, bANdUNg, jaWa BARat"
429,"Drs. Najwa Pranowo, S.H.",55,Sudah Menikah,08335723140,"JAlAn dIpONEGoRO no.199, kEC. BojOnG, BANjAr, Jawa bARAT"
430,Lukita Lazuardi,60,Sudah Menikah,08555078725,"komPlek AhMAd YANi nO.105, kECaMAtAn cIBEUNyiNg, pURWAKaRta, jaWa BArat"
431,Umaya Maulana,53,Sudah Menikah,08614903681,"GANG pAHLawAn nO.135, KeC. cimAhI SELATaN, sUBaNG, jAwa BarAt"
432,Martana Suartini,22,Sudah Menikah,08101670524,"JALan dEWi sARtIKa NO.107, kEC. cIbEunYINg, CiaNjuR, jAWa bArat"
433,"Drs. Purwadi Iswahyudi, S.Gz",64,Belum Menikah,08054496517,"Jl. pAhLawan No.113, kEC. cIMAHI SeLatAn, bogOR, Jawa BarAT"
434,"Nasrullah Firmansyah, S.IP",17,Belum Menikah,08300069203,"Gang ahmAd Yani No.130, KecAMaTaN cIMAHi sELataN, boGor, JAwA baRat"
435,Kania Sitorus,60,Belum Menikah,08244704834,"GANg dEWi SARtiKA nO.192, KecamaTAn cimAHI UtarA, cIrebOn, jawa BAraT"
436,"Irma Ardianto, M.Ak",65,Belum Menikah,08431433211,"KoMpLEK AhMaD YANI No.27, kecaMAtaN CIBeUNYinG, dEpOk, jaWA bArat"
437,Baktiono Widodo,44,Sudah Menikah,08302905694,"JAlAN MerdEKa NO.157, KEcAmatan cImAhi TEnGah, PURWAKarta, jAWA BaraT"
438,Yani Wahyudin,29,Sudah Menikah,08956358582,"kOmPlek SudIRmAN nO.43, KEC. CIMAHI, PURwaKarTa, JAWa BARAt"
439,Cinta Melani,58,Sudah Menikah,08867269168,"gang aHmAD YaNI no.187, kec. BojONg, Banjar, jAwa BaRat"
440,Tami Andriani,18,Belum Menikah,08045811312,"jalAN mErdEKa nO.176, KEc. cIMahi uTara, PURWAkARtA, jaWa BAraT"
441,"Dt. Enteng Permata, M.Ak",39,Sudah Menikah,08521669030,"Jl. MerDekA nO.169, kEc. CIMAhi SeLatan, PaNgandaRAN, JAWa baRat"
442,"Bahuwarna Laksmiwati, S.Kom",20,Sudah Menikah,08297928407,"JL. dewI sArtiKa no.194, kecAmATaN CimAhI UTara, cIMahi, jAwA bARat"
443,"Puti Nabila Napitupulu, S.IP",49,Belum Menikah,08406556901,"KomPLeK DIpOneGOrO no.119, KeCAmATAN KArAngPawitAn, kuNINgan, jAWa bARaT"
444,Tina Nashiruddin,17,Belum Menikah,08269303065,"jl. diPoNEgOro nO.113, KEc. BojonG, garuT, jawa baraT"
445,Maria Putra,34,Belum Menikah,08330171818,"GANg SUdirMAn NO.180, KECAMatan CiMAHI, INdramAyU, jaWa baraT"
446,Drs. Kamila Salahudin,56,Sudah Menikah,08124095912,"kOMpLeK DiPoNEgOro No.53, KEc. CibEunYING, CiANJUR, jawa bARAt"
447,Zahra Waskita,36,Belum Menikah,08008388207,"jAlaN pAHlawAN nO.131, kEC. ciMAhi uTARA, bANjar, jawA bArAt"
448,R. Fitriani Maulana,67,Belum Menikah,08891624530,"Jl. sUDirMaN nO.142, kec. cImaHI, BanDung, JAWa BaRaT"
449,"Simon Rahayu, M.Farm",55,Belum Menikah,08048377598,"KOmPleK PAHLAwan NO.187, Kec. CiBEunyIng, dEpok, Jawa baRAt"
450,"Dr. Kemba Prayoga, M.TI.",33,Sudah Menikah,08514802701,"JALAN meRDeka No.18, KECaMatAN BOJOnG, BANJaR, JawA bArAt"
451,"Sutan Marwata Prasetya, M.M.",52,Belum Menikah,08335762380,"kOmPLek sudiRMaN NO.41, keC. karangPAwiTan, gaRUt, jawa BarAT"
452,Dr. Galuh Saefullah,42,Sudah Menikah,08335054023,"JalAn SUdIRMAn no.170, KECAMATaN bojong, BaNjAR, JaWa BaRAT"
453,Prasetya Mulyani,65,Belum Menikah,08003036113,"JL. dIPoNEgoRO No.1, KeCAmATAN KARaNgpAwiTAN, bOGoR, JAWA bArAT"
454,Karen Najmudin,55,Sudah Menikah,08518791120,"Jl. dewi saRtIka nO.196, keCAMatan CImaHI UTAra, sumEDAng, JAWa baRAT"
455,T. Raditya Firmansyah,25,Sudah Menikah,08333166173,"jl. PahLAwan NO.176, kec. cibeunYIng, dEpoK, JaWA BaraT"
456,Raden Winarno,63,Belum Menikah,08239463274,"gAnG aHMAd YAni nO.12, KEcaMatan BoJONG, CIanJUR, jawa baRaT"
457,"Rika Najmudin, S.I.Kom",63,Belum Menikah,08067054274,"KoMPlEK AhMAd yAni no.36, KecAMaTAn CiMahI tengaH, cIReboN, JAwa BARaT"
458,"Kartika Yuniar, M.Ak",70,Sudah Menikah,08955176081,"JaLAN PAhLAwaN NO.19, KEc. boJoNG, TasiKMAlaYA, JAwA baRaT"
459,"Daruna Haryanto, S.E.I",54,Sudah Menikah,08794282417,"JL. dIPoNegORo No.178, KEC. ciMaHI TeNgaH, TasiKMaLayA, Jawa BARAt"
460,Kamaria Wahyuni,43,Belum Menikah,08799216969,"GaNg suDiRMaN NO.70, kECAMataN cimahi SElATaN, bEkasI, JaWA BaRat"
461,Kayla Sitompul,64,Belum Menikah,08140965971,"JALaN DIponEgOro NO.73, KeC. cimAhi UtArA, karawAnG, jawA BARat"
462,Tirta Permadi,69,Sudah Menikah,08373732376,"JL. SUdIRMAn No.167, keC. ciMAHI, pAngaNDaRan, JAWa BarAT"
463,Ozy Mandala,64,Belum Menikah,08258791063,"jaLaN paHlAwan no.64, KEC. cIMAHI utaRa, paNGaNDARAN, JaWa barAt"
464,Himawan Farida,66,Belum Menikah,08311807101,"gang MERDeKa NO.41, kec. BOJONG, beKASI, JaWA bAraT"
465,Icha Fujiati,69,Sudah Menikah,08369011206,"gaNG MERDeKA No.17, kEC. KAraNgPawItAN, sUkaBUmi, jAwA BaRAt"
466,Galih Latupono,17,Sudah Menikah,08973403512,"GanG pAHlawAN No.191, KeC. CIBeUNyInG, bEKAsI, JAwA BArAT"
467,Maryanto Uwais,35,Sudah Menikah,08856826473,"JL. aHmad YaNi nO.193, kEc. ciMahI sELAtan, dEpok, JawA BaRAt"
468,Rendy Maulana,25,Belum Menikah,08247481206,"jL. SUdIrMaN nO.114, kECAmAtan cimAHI UtARa, BEKASI, jAwA bArAT"
469,Hardi Dongoran,49,Sudah Menikah,08763237528,"gang dipONegOro No.143, KEC. cIBEUNyiNg, BogOR, JAWA BaRAT"
470,"Aisyah Hutasoit, S.IP",18,Belum Menikah,08680797429,"komPleK ahmad YanI NO.47, kec. cIbEuNyinG, GarUT, JaWA barAt"
471,Alambana Farida,44,Sudah Menikah,08039283262,"jL. AhMAd YaNI No.54, kECAmAtan ciMaHi, InDRAmaYu, JaWa BARAt"
472,"R. Vino Tarihoran, S.Psi",17,Belum Menikah,08868416533,"jL. pAhLAWan NO.102, KEC. cIBeUnYIng, BANdung, jAwa BarAt"
473,Manah Halim,40,Belum Menikah,08732325855,"gaNg MeRDEKa NO.157, kEC. cIBeUNYInG, KuniNGAn, jawA bARAt"
474,Lukman Habibi,25,Sudah Menikah,08662962504,"Gang DiPOnegOro no.95, KECaMAtan BOjong, PURwaKaRTA, JaWA BArat"
475,Rahayu Widodo,70,Belum Menikah,08457976877,"KompleK PAhlaWAN No.40, Kec. cimAHI tEnGAH, puRwAkArTA, JAwa baraT"
476,Endah Oktaviani,28,Belum Menikah,08899493420,"jl. merdekA nO.58, KEcamatan BOJONg, sUkaBumI, jaWA bARAt"
477,Clara Riyanti,32,Sudah Menikah,08497212671,"komPleK dewi SARTIKa No.27, KEcamatan CIbeUnYINg, pUrwakArtA, JaWA Barat"
478,Harimurti Safitri,26,Sudah Menikah,08222969086,"GaNG pAhlAwAN NO.5, kECAmataN KaRANGpAWITan, BOgOr, JaWa BarAt"
479,Dt. Naradi Nashiruddin,58,Sudah Menikah,08948941468,"jl. paHlawan No.78, KecamataN CIMahI UTARa, SUmeDAng, JAWa BARAT"
480,Yulia Simanjuntak,56,Sudah Menikah,08013503754,"JalAN diPoNeGorO nO.154, KEc. ciBEunyinG, PurwakartA, JaWa BArat"
481,"Jessica Hidayat, S.Farm",59,Belum Menikah,08413304381,"JL. paHlAWaN nO.157, kEcAmATaN CibEunYInG, purWAkarta, JAwa BARaT"
482,Puput Kurniawan,26,Belum Menikah,08559842948,"kOmpleK dIPonEGoRo nO.134, KEc. KArAnGPawITAN, indraMAYu, JAWa bARAT"
483,Ikhsan Suryatmi,33,Sudah Menikah,08564365307,"KOMPLEk diPOneGorO No.58, Kec. CiMahi, baNjAr, JAwa bArAt"
484,Kajen Rahimah,39,Belum Menikah,08053211456,"jL. DIpONEGOro nO.70, KeC. cImahI, mAjaleNGkA, Jawa barAT"
485,Lintang Nurdiyanti,44,Sudah Menikah,08331169709,"jalAN PaHLAwAN No.107, KEc. CIMAhi tEngAh, bEKASI, jawa BaraT"
486,"Tgk. Hafshah Hariyah, S.I.Kom",22,Sudah Menikah,08793025033,"jaLAn sUdIRmAN nO.19, KEC. karaNGpaWitaN, PaNgaNdARAn, jaWa BaRAT"
487,Kemba Najmudin,42,Belum Menikah,08604412239,"Gang paHlAWaN NO.99, KeC. KaRANGPawITAN, tasIKMaLayA, jawa BArAt"
488,"Ophelia Zulaika, S.E.I",53,Sudah Menikah,08213993688,"KOMPlEK PAhLawAN no.88, Kec. kARaNGpAWItAn, BANDUng, JAwA bArat"
489,"Ir. Agus Oktaviani, S.E.",24,Sudah Menikah,08465090453,"JALan dewi sARtiKA NO.65, KECAmatan ciMahI tEngah, DepOk, JaWA bAraT"
490,Jayeng Mulyani,25,Belum Menikah,08530927877,"jL. SuDiRMan no.151, KEcamATAn cimAhi utarA, cIaNjUr, JaWA bARAt"
491,KH. Ganep Marbun,51,Belum Menikah,08798843032,"GaNG dewI SARTikA no.166, kEc. CImahI, sUmEDaNG, JaWA barAt"
492,Paulin Rajata,42,Belum Menikah,08712839610,"jL. MerdeKA NO.21, kec. CIbeUNyiNg, sumEDaNg, jAWa BarAT"
493,Ade Melani,21,Belum Menikah,08832405823,"jL. SudIRmaN No.91, KeCAmaTAn ciMAhi TEnGah, gARUt, JAWA BaRAt"
494,"Prima Wibowo, M.Farm",56,Belum Menikah,08352477912,"gAnG mERDEKA nO.121, KeCamATAN CiMaHI, KUnInGan, JaWA Barat"
495,Mila Halimah,62,Sudah Menikah,08577159743,"jl. ahmad yANI NO.28, KeC. kaRaNGpAwitan, CimAHI, jawa BarAT"
496,Banawi Prasetyo,67,Sudah Menikah,08709497044,"GAnG dipOnEGOro NO.167, kEcAMatAn CImaHI, subaNg, jawa bArAt"
497,Farah Mandala,41,Sudah Menikah,08449346579,"jL. dEwi SArtIka no.94, kEC. CimAhI Utara, bAnjAR, jawA BARat"
498,Vivi Kurniawan,63,Belum Menikah,08796146173,"JalAn dewi SARtikA No.109, keCAMatan boJong, ciMaHi, JAWA BArAt"
499,Paramita Pradana,27,Belum Menikah,08603083648,"KoMPLEK DIpONEgoro no.147, kEc. BOjoNg, bOgor, JAWA barAT"
500,Bakti Andriani,59,Belum Menikah,08859142574,"KomPLek merdEKA NO.95, KEC. CIbEuNYiNG, PAnGANdARAN, jawA BArat"
501,Natalia Gunarto,40,Belum Menikah,08578467383,"JL. PAhLaWan nO.87, kEc. CiBEuNYinG, TAsikMaLaYA, JawA bArAT"
502,Lurhur Mayasari,22,Sudah Menikah,08534999869,"JALAN AhmAD yani NO.112, kec. kARANGpAWitAn, purwakartA, jaWa BaRaT"
503,Ani Firmansyah,38,Belum Menikah,08436309294,"GanG MeRDekA NO.59, KeC. CiMAhi selATan, ciMAHI, JawA BARAT"
504,Samiah Hassanah,46,Sudah Menikah,08940436416,"GaNG PaHlawAN no.23, keC. cImahi uTara, pANGanDaraN, jAWa BARaT"
505,Aisyah Nababan,33,Sudah Menikah,08252774400,"gaNg dIpoNEGOro no.115, kEC. ciMaHi tEngAH, cIMAHi, jAWA BArat"
506,Cindy Thamrin,36,Belum Menikah,08961730195,"gANG SUdIRMaN NO.87, kecamATaN cIMaHI UTARA, BeKasi, jawa BArAt"
507,Darmanto Aryani,56,Sudah Menikah,08732277659,"Jl. MeRDEKA NO.182, KeC. BOJOng, MajalenGKa, Jawa BArat"
508,Daliono Gunarto,57,Belum Menikah,08893277490,"JL. dIPOnEGOrO NO.198, KeC. kaRANgPAwITAn, sumEdANG, JAWA BArAT"
509,Citra Laksita,23,Belum Menikah,08855103309,"GANg PahlawaN NO.72, keCamaTaN CimAhi, BogOR, jAwA bARaT"
510,Karma Aryani,68,Sudah Menikah,08086426676,"komPLEk ahmad YaNI No.41, kecAmatan cibeUNYinG, GARut, jAwA baRAT"
511,Prayogo Gunarto,48,Sudah Menikah,08443570160,"jALaN DEWi saRTiKa nO.176, kEcAmATaN CIMaHI SElAtan, TaSIkmAlAYA, jawA baRaT"
512,Ir. Edi Maulana,20,Sudah Menikah,08134244766,"JalaN DiPoNegoRo no.93, kEC. cIMaHi, BogoR, JawA barAT"
513,Ega Maryadi,59,Sudah Menikah,08141906020,"jL. sudIRmAN No.164, KEC. CImaHI, SUMeDanG, JAWA bAraT"
514,Bagiya Prabowo,49,Sudah Menikah,08527550098,"jL. sudiRmAN No.154, kECaMataN KaRaNgPAwItAn, TaSikMaLAYA, jawa bArat"
515,"Dr. Naradi Wastuti, M.Ak",38,Belum Menikah,08900783657,"gaNg pAhlawan no.30, KEcAMataN cimaHi tengaH, gaRut, JAWa barAt"
516,Panji Tarihoran,31,Sudah Menikah,08309998817,"gANG dewI sartIkA No.156, kEc. ciMAhI TENGah, BEKaSi, jAwa BarAt"
517,Darmanto Firgantoro,33,Belum Menikah,08656346199,"jaLAN pAhLAWan nO.41, Kec. kAranGPaWItaN, bogor, jaWa bARaT"
518,"Dt. Vero Najmudin, S.Kom",68,Sudah Menikah,08455840040,"JAlan ahmAd YANi No.142, keC. CiMAHI TeNGAh, TasikmalAYA, jAWA baRat"
519,drg. Rika Habibi,63,Belum Menikah,08160289547,"Gang ahMad YANI No.89, KEc. bojonG, mAjaLENgKa, jAWA bAraT"
520,Eli Haryanto,31,Belum Menikah,08843602633,"gaNg sUdIrMaN nO.107, kECamAtan cimAhI sELATan, pangAndARaN, jaWa bAraT"
521,Talia Pratiwi,20,Sudah Menikah,08589031432,"JaLan pahlawAn No.130, KeC. CImahi UtArA, KUNINGAN, Jawa BARAT"
522,Umi Rajasa,67,Sudah Menikah,08992719214,"JaLaN PAhLAWan NO.50, kECAmatan cimahi, INdrAMAyu, JAwa BarAT"
523,"Alika Hassanah, S.Pd",44,Sudah Menikah,08945226744,"Jl. DiponeGoro NO.44, KeC. ciMahi sELatAn, DePoK, JawA bArat"
524,Olivia Budiyanto,18,Sudah Menikah,08123482893,"JAlAn dewI sARtIKa NO.70, kecaMatan cibeUNYING, suBanG, JAwa baraT"
525,"R. Perkasa Putra, S.Gz",27,Sudah Menikah,08783215061,"jl. diPonEgorO NO.51, kec. CiBeUNyING, sUmedanG, JaWA baRAT"
526,Balamantri Kusumo,25,Sudah Menikah,08912347031,"GANG DEWI sARTIka no.114, KECAmatan kaRANGPAWItaN, KaRAWaNg, jAWA BArAt"
527,Yessi Habibi,42,Belum Menikah,08563728055,"JALAN DeWI SartIkA no.194, kec. karANGPaWitaN, baNJAR, jAWa baraT"
528,Mustika Manullang,17,Sudah Menikah,08189035306,"jl. PAHlAWan nO.31, KEc. BoJoNG, kARawANG, JAWA BARAT"
529,Dina Pangestu,61,Belum Menikah,08299952799,"GAnG sUdIRMAN no.40, keCAmaTaN CIMahI, GARUt, jAWA baRAt"
530,Tgk. Wulan Maheswara,30,Belum Menikah,08684213039,"Jl. AHmad yani nO.118, Kec. KArAnGpAwiTaN, sUKabuMi, JaWA baRAt"
531,Cut Yuni Pratama,35,Belum Menikah,08594255149,"jAlan ahMad yaNi nO.40, KEc. cIMAhI, maJaLEnGKa, Jawa bAraT"
